"%1$s incl tax.","%1$s incl. impuestos."
"Please, inform your coupon code","Por favor, llene el cupón de descuento"
"Apply","Aplicar"
"Remove","Eliminar"
"You will save","Ahorrará"
"with discount from","con un descuento de"
"Total of your purchase:","Total de su compra:"
"Total of your purchase with discount:","Total de su compra con Descuento:"
"*Uppon payment approval","*Mediante la aprobación de pago"
"Terms and Conditions of Use","Términos y Condiciones de uso"
"Discount Coupon","Cúpon de Descuento"
"Other Bank","Otro Banco"
"Choose","Elige"
"Payment Method","Métodos de Pago"
"Credit card number","número de tarjeta"
"Expiration month","Mes de Expiración"
"Expiration year","Año de Expiración"
"Year","Año"
"Month","Mes"
"Card holder name","Nombre del Titular"
"Security code","Código de seguridad"
"Document Type","Tipo"
"Document number","Documento"
"Issuer","Bancos"
"Installments","Cuotas"
"Your Card","Tarjetas guardadas"
"Other Cards","Pagar con otras tarjetas"
"Other Card","Otras tarjetas"
"ended in","finalizado en"
"Parameter cardNumber can not be null/empty","Ingresa una número de tarjeta válido"
"Invalid Card Number","Ingresa una número de tarjeta válido"
"Invalid Expiration Date","Ingresa una fecha de expiración válida"
"Parameter cardholderName can not be null/empty","Ingresa un nombre válido"
"Invalid Card Holder Name","Ingresa un nombre válido."
"Parameter securityCode can not be null/empty","Ingresa un código de seguridad válido"
"Invalid Security Code","Ingresa un código de seguridad válido"
"Parameter docType can not be null/empty","Ingresa un tipo de documento válido"
"Invalid Document Type","Ingresa un tipo de documento válido"
"Parameter docNumber can not be null/empty","Ingresa un documento válido"
"Invalid Document Number","Ingresa un documento válido"
"The parameter cardholder.document.subtype can not be null or empty","Ingresa un tipo de documento válido"
"Invalid Document Sub Type","Ingresa un tipo de documento válido"
"Parameter cardIssuerId can not be null/empty","Ingresa un banco válido"
"Information requested in accordance with the rules of Circular No. 3.461/09, 3.598/12 and 3.656/13 of the Banco Central do Brasil.","Información solicitada de acuerdo con las normas de las circulares Nro. 3.461/09, 3.598/12 e 3.656/13 del Banco Central de Brasil."
"Select","Seleccione"
"Name","Nombre"
"Surname","Apellido"
"Document Number","Número de documento"
"Address","Dirección"
"Number","Número"
"City","Ciudad"
"State","Estado"
"Zipcode","Código postal"
"Name required","Obligatorio completar el Nombre"
"Surname required","Obligatorio completar el Nombre"
"Document Number required","Obligatorio completar de un documento valido"
"Address required","Obligatorio completar la dirrección"
"Number Address required","Obligatorio completar el Número de dirrección"
"City required","Obligatorio completar el Ciudad"
"State required","Obligatorio completar el Estado"
"Zipcode required","Obligatorio completar el Código postal"
"Order creation email","Enviar email cuando se crea el pedido"
"Order update email","Enviar email cuando el pedido es actualizado"
"Do not send","No enviar"
"Email sent when the order is created does not mean that the payment has been approved","El email es enviado cuando se crea el pedido, no significa que el pago haya sido aprobado"
"Select the statuses you want to send update emails to. This email is only sent when the order status is updated. It is not sent on the first status update because the order creation email is sent. If the order creation email is deactivated, then the email of the first order update will be sent","Seleccione los estados a los que desea enviar emails de actualización. Este email solo se envía cuando se actualiza el estado del pedido. No se envía en la primera actualización de estado porque se envía el email de creación de pedido. Si el email de creación de pedido está desactivado, se enviará el email en la primera actualización de pedido"
"My Product Reviews","Mis reseñas de productos"
"Order by SKU","Orden por SKU"
"Stored Payment Methods","Métodos de Pago Almacenados"
"Gift Card","Tarjeta de Regalo"
"My Invitations","Mis Invitaciones"
"Gift Registry","Registro de Regalos"
"Reward Points","Programa de recompensas"
"Change Email","Cambiar cuenta de correo"
"Document Number","Número de Documento"
"You have submitted no reviews.","No has tenido revisiones."
"You have no stored payment methods.","No has guardado métodos de pago."
"Add Row","Agregar columna"
"File extensions allowed: .csv","Extensiones de archivo permitidas: .csv"
"Your csv file must include ""sku"" and ""qty"" columns.","Tu archivo csv debe incluir columnas ""sku"" y ""qty"" ."
"Balance","Saldo"
"Your balance is:","Tu saldo es:"
"Redeem Gift Card","Canjear tarjeta de Regalo"
"Have a gift card? ","¿Tienes una tarjeta de regalo?"
"Click here","Da click aquí"
" to redeem it.","para canjearla."
"Subscription option","Opción de Suscripción"
"Enter gift card code","Ingresar código de la tarjeta"
"Check status and balance","Revisar estatus y saldo"
"Invite your friends by entering their email addresses","Invita a tus amigos ingresando sus correos electrónicos"
"Send Invitations","Enviar Invitaciones"
"Back to Invitations","Volver a las Invitaciones"
"There are no sent invitations.","No hay invitaciones enviadas."
"You haven't created a gift registry yet.","Aún no creaste un registro de regalos."
"Gift Registry Type","Tipo de Registro de Regalo"
"Please select a gift registry type.","Por favor seleccione un tipo de registro de regalo."
"Reward points balance Information","Estado de cuenta del programa de recompensas"
"Learn more","Más información"
"Your balance is %1.","Tu Balance es: %1."
"Current exchange rates:","Tipo de cambio actual:"
"Balance History","Historial de Saldo"
"There is no balance history.","No hay un historial de Saldo"
"Email Notification Settings","Configuración de Notificación de Emails"
"Subscribe for Balance Updates","Suscribirse a Actualizaciones de Saldo"
"Subscribe for Points Expiration Notifications","Suscribirse a Notificaciones de Expiración de Puntos"
"Save Subscription Settings","Salvar Configuración de Suscripción"
"Something went wrong with the subscription.","Algo salió mal con la suscripción."
"Too many password reset requests. Please wait and try again or contact %1.","Demasiadas peticiones para restaurar la contraseña. Por favor espere e intente nuevamente o comuniquese a %1."
"There was a problem with the subscription: %1","Hubo un problema con la suscripción: %1","module","Magento_Newsletter"
"Reset My Password","Restaurar Mi Contraseña"
"Sign-in Information","INFORMACION DE REGISTRO"
"Password Strength","Seguridad de la Contraseña"
"No Password","Sin Contraseña"
"Weak","Poco Segura","module","Magento_Customer"
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","El tamaño de la contraseña debe ser mínimo de 8 caracteres. No utilice espacios."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Es necesario incluir mayúsculas, minúsculas y números."
"Medium","Media"
"Strong","Segura"
"Very Strong","Muy segura"
"Thank you for registering with %1.","Gracias por registrarse en %1."
"You are signed out","Haz cerrado tu sesión"
"You have signed out and will go to our homepage in 5 seconds.","Te enviaremos a nuestra página de inicio en 5 segundos."
"Set a New Password","Crear Nueva Contraseña"
"You updated your password.","Actualizaste tu contraseña."
"Invalid type given. String expected","Tipo invalido provisto. Se esperaba una cadena"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Ya hay una cuenta con esta dirección de correo electrónico. Si estás seguro de que esa es tu dirección de correo electrónico, da click <a href=""%1"">aquí</a> para recuperar tu contraseña y acceder a tu cuenta."
"terms and condition","términos y condiciones"
"I have read and agree to the","He leído y acepto los"
" terms and conditions."," términos y condiciones.","module","Wagento_Checkbox"
"My billing and shipping address are the same", "Mi dirección de facturación y envío es la misma"
"Pay Now", "Pagar ahora"
"You don't subscribe to our newsletter.", "No te has suscrito a nuestro boletín."
"Company Information","Nueva cuenta de empresa"
"Company Name","Nombre de empresa"
"Company Name:","Nombre de empresa:"
"Company Legal Name","Nombre legal de la empresa"
"Company Legal Name:","Nombre legal de la empresa:"
"Company Email","Email de la empresa"
"Company Email:","Email de la empresa:"
"VAT/TAX ID","ID / IVA"
"VAT/TAX ID:","ID / IVA:"
"Re-seller ID","ID de revendedor"
"Re-Seller ID:","ID de revendedor:"
"Legal Address","Dirección Legal"
"ZIP/Postal Code","Código Postal"
"Company Administrator","Administrador de la empresa"
"Job Title","Puesto"
"Job Title:","Puesto:"
"Male","Masculino"
"Female","Femenino"
"Not Specified","No Especificado"
"Street Address:","Dirección:"
"City:","Ciudad:"
"Thank you! We're reviewing your request and will contact you soon","¡Gracias! Estamos Revisando Su Solicitud Y Pronto Estaremos En Contacto"
"You did not sign in correctly or your account is temporarily disabled.","No has iniciado sesión correctamente o tu cuenta está deshabilitada temporalmente"
"Country:","País:"
"State/Province:","Estado /Provincia:"
"ZIP/Postal Code:","Código Postal:"
"Phone Number:","Teléfono:"
"Email Address:","Correo Electrónico:"
"First Name:","Nombre:"
"Last Name:","Apellidos:"
"Gender:","Sexo:"
"Be the first to review this product","Califica este producto"
"Best Sellers","Productos Nuevos"
"Add to cart","Agregar al carrito"
"Preferred day","Día preferido"
"Select an hour","Seleccionar una hora"
"Estimated Total","Total Estimado"
"Close >","Cerrar >"
"Ship Here","Elegir aquí"
"Welcome to %store_name","Bienvenido a tu tienda en linea %store_name"
"Reset your %store_name password","Restablecer la contraseña de su Tienda %store_name"
"Your %store_name password has been changed","Su contraseña de la Tienda %store_name ha sido cambiada"
"Welcome to %store_name","Bienvenido a tu tienda en linea %store_name"
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Debes confirmar tu cuenta. Por favor revisa tu correo electrónico para ver el enlace de confirmación o <a href=""%1"">haz click aquí</a> para un enlace nuevo "
"You added %1 to your shopping cart.","Agregaste %1 a tu carrito de compras"
